y,id,temp_c,do_percent,do_mg_l,spc_us,sal_ppt,ph,water_level_cm,turbidity,tdn_umol_l,tdp_umol_l,po4_umol_l,si_umol_l,nox_umol_l,nh4_umol_l,toc_umol_l,cor_tdn_umol_l,cor_tdp_umol_l,cor_po4_umol_l,cor_nox_umol_l,cor_nh4_umol_l
120,Kaleos_House_43815,22.2,138.9,12.13,185.7,0.09,7.52,,,7.24,0.52,0.48,653.9,0.9,BD <0.02,,7.24,0.52,0.48,0.9,0.014142136
121,Kahanaiki_stream_43815,22.7,126.6,10.48,209.1,0.1,7.18,,,6.45,0.44,0.37,626.79,2.14,BD <0.02,,6.45,0.44,0.37,2.14,0.014142136
122,Bayfront_42569,,,,,,,,,,,,,,,,,,,,
123,Honolii_42569,,,,,,,,,,,,,,,,,,,,
124,Onekahakaha_42569,,,,,,,,,,,,,,,,,,,,
125,Richardson_42569,,,,,,,,,,,,,,,,,,,,
126,Bayfront_42892,23.76666667,90.06666667,6.83,,17.56666667,,49.5,3.693333333,,,,,,,,,,,,
127,Honolii_42892,25,97.83333333,6.903333333,,28.83333333,,44.2,0.43,,,,,,,,,,,,
128,Onekahakaha_42892,22.96666667,103.4666667,7.863333333,,15.16666667,,51.4,1.543333333,,,,,,,,,,,,
129,Richardson_42892,24.63333333,99.03333333,7.04,,27.36666667,,55.7,1.113333333,,,,,,,,,,,,
130,Bayfront_42900,25.86666667,101.7,6.996666667,,28.26666667,,49.4,2.04,,,,,,,,,,,,
131,Honolii_42900,24.5,108.2,7.693333333,,28.66666667,,53.7,0.406666667,,,,,,,,,,,,
132,Onekahakaha_42900,24.93333333,107.4333333,8.026666667,,29.63333333,,45,0.616666667,,,,,,,,,,,,
133,Richardson_42900,23.8,91.2,6.596666667,,25.66666667,,40.7,0.836666667,,,,,,,,,,,,
134,Bayfront_42915,24.5,104.8333333,7.733333333,,21.13333333,,42.7,5.096666667,,,,,,,,,,,,
135,Honolii_42915,24.86666667,105.4,7.386666667,,30.53333333,,62.6,0.433333333,,,,,,,,,,,,
136,Onekahakaha_42915,25.7,106.7666667,7.116666667,,35.06666667,,51.2,0.63,,,,,,,,,,,,
137,Richardson_42915,24.76666667,98.73333333,7.05,,30.13333333,,48.3,0.543333333,,,,,,,,,,,,
138,Puhi_Bay_43055,18.8,90.26666667,8.016666667,,12.08666667,,24.5,0.216666667,,,1.77,94.14,40.08,2.84,,,,1.77,40.08,2.84
139,Reeds_Bay_43055,22.2,79.13333333,6.43,,15.13333333,,18.4,38.96666667,,,0.64,12.06,21.88,5.49,,,,0.64,21.88,5.49
140,Puhi_Bay_43076,20.8,86,6.966666667,,18.4,,12.1,1.343333333,,,0.71,85,26.03,5.14,,,,0.71,26.03,5.14
141,Reeds_Bay_43076,21,82.96666667,6.68,,18.1,,17.3,7.536666667,,,0.62,62.57,22.4,3.45,,,,0.62,22.4,3.45
142,Puhi_Bay_43124,20.86666667,76.26666667,6.263333333,,15,,51.5,0.383333333,,,0.82,79.36,36.52,0.76,,,,0.82,36.52,0.76
143,Reeds_Bay_43124,18.9,87.7,7.856666667,,7.666666667,,49.1,4.453333333,,,0.78,51.78,28.34,0.92,,,,0.78,28.34,0.92
144,Puhi_Bay_43152,19.03333333,73.73333333,6.466666667,,8.333333333,,54,0.473333333,,,1.81,141.5,38.25,2.77,,,,1.81,38.25,2.77
145,Reeds_Bay_43152,21.5,70.73333333,5.833333333,,16.13333333,,55.4,0.86,,,1.37,154.4,24.65,0.84,,,,1.37,24.65,0.84
146,Puhi_Bay_43159,21.23333333,67.7,5.53,,13.7,,13.4,21.53333333,,,,,,,,,,,,
147,Reeds_Bay_43159,18.7,77.86666667,6.98,,6.533333333,,6.3,0.363333333,,,,,,,,,,,,
148,Onekahakaha_43166,22.73333333,85.46666667,6.153333333,,34.1,,35.9,1.656666667,,,0.03,15.68,0.94,0.19,,,,0.03,0.94,0.19
149,Richardson_43166,22.03333333,85.76666667,6.476666667,,27.16666667,,35,0.82,,,0.29,36.65,4.11,0.95,,,,0.29,4.11,0.95
150,Bayfront_43180,22.93333333,82.1,5.943333333,,30.8,,28.1,130.3666667,,,0.21,42.49,5.57,0.96,,,,0.21,5.57,0.96
151,Honolii_43180,22.36666667,85.96666667,6.403333333,,27.66666667,,33,1.67,,,0.18,30.1,1.57,0.81,,,,0.18,1.57,0.81
152,Puhi_Bay_43194,22.03333333,64.06666667,5.243333333,,15,,45.3,0.3,,,0.83,84.65,38.9,0.71,,,,0.83,38.9,0.71
153,Reeds_Bay_43194,18.93333333,79.53333333,7.166666667,,6.6,,48.4,2.193333333,,,1.26,122.51,26.45,0.82,,,,1.26,26.45,0.82
154,Onekahakaha_43201,23.9,80.93333333,5.586666667,,34.46666667,,48,0.84,,,0.03,15.34,0.86,0.49,,,,0.03,0.86,0.49
155,Richardson_43201,23.16666667,85.23333333,6.166666667,,31.06666667,,51.8,0.356666667,,,0.33,54.17,4.71,0.66,,,,0.33,4.71,0.66
156,Bayfront_43208,22.03333333,84.26666667,6.633333333,,18.3,,20.7,11.44333333,,,0.19,41.95,10.01,0.65,,,,0.19,10.01,0.65
157,Honolii_43208,21.73333333,89.26666667,7.046666667,,18.96666667,,26.5,2.37,,,0.39,32.78,4.3,6.01,,,,0.39,4.3,6.01
158,Bayfront_43291,23.96666667,77.4,6.236666667,,22.3,,42,7.27,,,,,,,,,,,,
159,Honolii_43291,23.36666667,89.8,6.766666667,,20.96666667,,43.3,2.813333333,,,,,,,,,,,,
160,Onekahakaha_43291,25.06666667,64.16666667,4.546666667,,28.23333333,,35.6,0.68,,,,,,,,,,,,
161,Reeds_Bay_43291,22.3,65.3,5.223333333,,13.63333333,,37.9,11.77666667,,,,,,,,,,,,
162,Richardson_43291,23.53333333,74.5,5.576666667,,25.23333333,,35.3,0.48,,,,,,,,,,,,
163,Bayfront_43298,24.86666667,83.33333333,6.043333333,,25.9,,63.6,5.816666667,,,,,,,,,,,,
164,Honolii_43298,23.8,88.3,6.493333333,,22.96666667,,57.7,6.446666667,,,,,,,,,,,,
165,Onekahakaha_43298,25.2,76,5.15,,34.03333333,,71.5,0.85,,,,,,,,,,,,
166,Reeds_Bay_43298,21.96666667,71.16666667,5.766666667,,12.7,,68,2.96,,,,,,,,,,,,
167,Richardson_43298,24.56666667,80.03333333,5.63,,29.23333333,,75.6,1.07,,,,,,,,,,,,
168,Bayfront_43305,25,82.7,6.063333333,,24.63333333,,37.6,1.863333333,,,,,,,,,,,,
169,Honolii_43305,24.06666667,89.86666667,6.363333333,,23.5,,38.2,0.596666667,,,,,,,,,,,,
170,Onekahakaha_43305,23.86666667,83.9,5.78,,26.43333333,,39.5,15.76666667,,,,,,,,,,,,
171,Reeds_Bay_43305,21.86666667,72.1,5.806666667,,13,,35.1,11.15333333,,,,,,,,,,,,
172,Richardson_43305,23.9,89.16666667,6.396666667,,26.76666667,,37.5,5.703333333,,,,,,,,,,,,
173,Bayfront_43311,25.43333333,85.5,5.966666667,,27.8,,49.4,3.246666667,,,,,,,,,,,,
174,Honolii_43311,24.43333333,87.16666667,6.17,,27.76666667,,57.9,0.403333333,,,,,,,,,,,,
175,Onekahakaha_43311,23.56666667,65.96666667,4.826666667,,23.8,,36.3,3.07,,,,,,,,,,,,
176,Reeds_Bay_43311,22.06666667,70.66666667,5.603333333,,12.6,,45.7,2.046666667,,,,,,,,,,,,
177,Richardson_43311,23.63333333,77.33333333,5.553333333,,25.66666667,,35.5,0.7,,,,,,,,,,,,
178,Bayfront_43326,23.33333333,84.9,6.536666667,,16.13333333,,51,3.493333333,,,,,,,,,,,,
179,Honolii_43326,25.06666667,81.56666667,5.693333333,,29.06666667,,58.2,0.826666667,,,,,,,,,,,,
180,Onekahakaha_43326,24.2,67.76666667,4.886666667,,24.86666667,,38.2,1.03,,,,,,,,,,,,
181,Reeds_Bay_43326,22.06666667,73,6.03,,12.1,,45.5,4.02,,,,,,,,,,,,
182,Richardson_43326,24.56666667,78.2,5.91,,26.26666667,,34.2,0.613333333,,,,,,,,,,,,
183,Bayfront_43327,24.9,80.83333333,5.44,,24.46666667,,68.6,7.603333333,,,,,,,,,,,,
184,Honolii_43327,25.03333333,81.66666667,5.73,,28.53333333,,72,0.596666667,,,,,,,,,,,,
185,Onekahakaha_43327,24.36666667,64.66666667,4.6,,27.43333333,,57.2,1.376666667,,,,,,,,,,,,
186,Reeds_Bay_43327,21.7,69.26666667,5.74,,11.7,,63.3,0.823333333,,,,,,,,,,,,
187,Richardson_43327,24.76666667,75.93333333,5.35,,27.93333333,,53.6,0.536666667,,,,,,,,,,,,
188,Bayfront_43340,23.66666667,91.3,6.983333333,,18.23333333,,42.4,13.86666667,,,,,,,,,,,,
189,Honolii_43340,24.4,85.83333333,7.036666667,,23.03333333,,49.1,19.6,,,,,,,,,,,,
190,Onekahakaha_43340,25.03333333,87.7,6.373333333,,28.83333333,,33.9,1.75,,,,,,,,,,,,
191,Reeds_Bay_43340,21.1,77.6,6.536666667,,12.63333333,,40.7,3.79,,,,,,,,,,,,
192,Richardson_43340,24.23333333,94.3,7.863333333,,25.53333333,,34.2,0.583333333,,,,,,,,,,,,
193,Bayfront_43367,24.5,75.03333333,5.48,,23.26666667,,29.9,5.626666667,,,,,,,,,,,,
194,Honolii_43367,25.7,80.43333333,5.576666667,,28.73333333,,33.1,7.8,,,,,,,,,,,,
195,Onekahakaha_43367,24.33333333,61.83333333,4.45,,25.8,,28.7,1.016666667,,,,,,,,,,,,
196,Reeds_Bay_43367,21.76666667,69,5.606666667,,12.9,,33.2,2.323333333,,,,,,,,,,,,
197,Richardson_43367,23.7,71.43333333,5.316666667,,22.33333333,,31.5,0.99,,,,,,,,,,,,
198,Bayfront_43375,25.73333333,71.66666667,4.943333333,,28.63333333,,22.5,4.026666667,,,,,,,,,,,,
199,Honolii_43375,25.36666667,80.16666667,5.556666667,,29.8,,24.3,12.06666667,,,,,,,,,,,,
200,Onekahakaha_43375,24.06666667,61.86666667,4.366666667,,29,,15.6,0.99,,,,,,,,,,,,
201,Reeds_Bay_43375,20.63333333,76.1,6.34,,12.3,,18.3,1.74,,,,,,,,,,,,
202,Richardson_43375,24.76666667,73.86666667,5.18,,29.33333333,,15.4,0.703333333,,,,,,,,,,,,
203,Bayfront_43388,24.43333333,81.86666667,6.086666667,,20.26666667,,48.8,7.573333333,,,,,,,,,,,,
204,Honolii_43388,25.4,83.23333333,5.886666667,,26.1,,44.5,24.36666667,,,,,,,,,,,,
205,Onekahakaha_43388,24.76666667,57.6,4.103333333,,26.13333333,,40.9,1.793333333,,,,,,,,,,,,
206,Reeds_Bay_43388,21.7,68.06666667,5.536666667,,12.23333333,,42.2,2.5,,,,,,,,,,,,
207,Richardson_43388,25.23333333,79.06666667,5.536666667,,27.76666667,,41.1,1.036666667,,,,,,,,,,,,
208,Bayfront_43396,24.46666667,76.66666667,5.66,,21.4,,14.9,9.92,,,,,,,,,,,,
209,Honolii_43396,25.73333333,83.8,5.783333333,,29.2,,16.9,5.806666667,,,,,,,,,,,,
